job_id,title,company,location,city,region,contract_type,experience_level,publication_date,description,source_url,source,keyword
li_4371934226,"Data Analyst  - Bordeaux, France  (H/F)",Astek,"Bordeaux, Nouvelle-Aquitaine, France",Bordeaux,Nouvelle-Aquitaine,CDI,Non spécifié,2026-03-31,,https://fr.linkedin.com/jobs/view/data-analyst-bordeaux-france-h-f-at-astek-4371934226?position=7&pageNum=2&refId=sDZAq%2FQ%2BmnhCKO0c%2FqXIaw%3D%3D&trackingId=Ds5UOHNszP%2BGtbzC%2B1hKRA%3D%3D,LinkedIn,data analyst
li_4384812107,Data Analyst (H/F),Technology & Strategy,Greater Bordeaux Metropolitan Area,,Greater Bordeaux Metropolitan Area,CDI,Non spécifié,2026-03-12,,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-technology-strategy-4384812107?position=8&pageNum=2&refId=sDZAq%2FQ%2BmnhCKO0c%2FqXIaw%3D%3D&trackingId=AyC1BrhIjGW136NHJom3XA%3D%3D,LinkedIn,data analyst
li_4389723936,Data Analyst - Stage,Polène Paris,"Paris, Île-de-France, France",Paris,Île-de-France,STAGE,Stage/Alternance,2026-03-24,,https://fr.linkedin.com/jobs/view/data-analyst-stage-at-pol%C3%A8ne-paris-4389723936?position=9&pageNum=2&refId=sDZAq%2FQ%2BmnhCKO0c%2FqXIaw%3D%3D&trackingId=lFG%2FtzF1mZkfytqYcUuuOw%3D%3D,LinkedIn,data analyst
li_4395020659,Data Annotator,Innodata Inc.,France,,France,CDI,Non spécifié,2026-03-30,,https://fr.linkedin.com/jobs/view/data-annotator-at-innodata-inc-4395020659?position=10&pageNum=2&refId=sDZAq%2FQ%2BmnhCKO0c%2FqXIaw%3D%3D&trackingId=h46IazEK7j4ejG2%2FSas4yw%3D%3D,LinkedIn,data analyst
li_2093408395,Data Entry Analyst,ALX Academy,,,,CDI,Non spécifié,2026-04-05T13:37:47.458,,,LinkedIn,
li_2093392986,Data Entry Analyst,ALX Academy,,,,CDI,Non spécifié,2026-04-05T12:51:30.211,,,LinkedIn,
li_2093392987,Group HR Data Analyst F/M,myGwork - LGBTQ+ Business Community,,,,CDI,Non spécifié,2026-04-05T12:51:30.207,,,LinkedIn,
li_2093315656,Data Entry Analyst,ALX Academy,,,,CDI,Non spécifié,2026-04-05T09:53:27.797,,,LinkedIn,
li_2093242453,Data Security & DLP Analyst,Alignerr,,,,CDI,Non spécifié,2026-04-05T05:54:10,,,LinkedIn,
li_2092844951,DATA ANALYST (H/F),LOBELLIA Conseil - ASTILLIA,,,,CDI,Non spécifié,2026-04-04T18:31:01,,,LinkedIn,
li_2092730288,Data Analyst / Data Scientist,Wasla Solutions,,,,CDI,Non spécifié,2026-04-04T15:54:09.598,,,LinkedIn,
li_2092730280,Data Entry Analyst,ALX Academy,,,,CDI,Non spécifié,2026-04-04T15:54:09.066,,,LinkedIn,
li_2092592090,Senior Data Analyst  - Internal Audit,ABB,,,,STAGE,Senior,2026-04-04T10:46:07,,,LinkedIn,
li_2092314445,Data Quality Analyst (French) | $11/hr Remote,Crossing Hurdles,,,,CDI,Non spécifié,2026-04-04T07:59:09.283,,,LinkedIn,
